,log10(ObjectID),period(days),lower error (days),upper error(days),significance,band pair1,band pair2,iou
0,6.141478620884485,,,,,12.0,13.0,
1,6.141480188627632,218.6987424822305,10.806600926873957,2.1825237752820783,1.0,12.0,13.0,0.9674540378696855
2,6.1414833240969475,,,,,12.0,13.0,
3,6.141491476211226,278.35768963117584,33.30401497409298,8.76560526315427,1.0,12.0,13.0,0.9921350191507947
4,6.1414952386738975,,,,,12.0,13.0,
5,6.141496179284473,269.1790040376848,23.20477560158622,6.391846323631739,0.98,12.0,13.0,0.9923451507308995
6,6.141500882306789,288.1844380403456,16.657792302174414,10.926205167418344,1.0,12.0,13.0,0.9348472814843651
7,6.141519693886777,252.5252525252523,7.993948568539508,2.603870541312631,0.98,12.0,13.0,0.958686078931562
8,6.141523142588057,278.35768963117584,15.138330936159887,0.7806367463756487,1.0,12.0,13.0,0.6719358991912703
9,6.14153599659702,,,,,12.0,13.0,
10,6.1415400721789615,165.4944145635083,8.857086864822037,1.0541385806260166,1.0,12.0,13.0,0.9785818404506412
11,6.141540699188173,,,,,12.0,13.0,
12,6.141565151841368,269.1790040376848,19.272235788436436,4.288085742060503,1.0,12.0,13.0,0.702530583952053
13,6.141565465327983,288.1844380403456,15.138137334192663,6.2315276183402375,1.0,12.0,13.0,0.9362720561017043
14,6.141570167600058,252.5252525252523,8.159090228354728,0.8797514250501877,1.0,12.0,13.0,0.9935524595063203
15,6.141575810259343,278.35768963117584,20.525104031394505,4.568678394438564,1.0,12.0,13.0,0.9079009759039536
16,6.141588976179239,252.5252525252523,10.017668082660634,1.6889055756666664,1.0,12.0,13.0,0.991405461136113
17,6.141599634012542,278.35768963117584,21.92168603485544,19.51466516614431,1.0,12.0,13.0,0.74215803977373
18,6.141599947474268,,,,,12.0,13.0,
19,6.141605903204074,212.99254526091565,11.579810406313811,9.848669844261453,1.0,12.0,13.0,0.9316401639265047
20,6.141617187520784,288.1844380403456,5.713603974772241,4.743351272064274,0.98,12.0,13.0,0.0
21,6.141618441315653,260.5863192182408,6.2780837229752535,1.8638285047231309,1.0,12.0,13.0,0.9982258674138701
22,6.141652605832674,252.5252525252523,8.175889085792562,1.6025913735477388,1.0,12.0,13.0,0.9749504621113566
23,6.141667023079328,,,,,12.0,13.0,
24,6.14169961682936,,,,,12.0,13.0,
25,6.141716226164924,252.5252525252523,8.052691701188508,2.720016803761468,1.0,12.0,13.0,0.8668211587379197
26,6.141730641299766,260.5863192182408,13.130277585446096,0.5220685291959057,0.98,12.0,13.0,0.9867895263422097
27,6.141762916931893,252.5252525252523,11.097528947229932,2.119171051335087,1.0,12.0,13.0,0.966222274431875
28,6.141829967373426,260.5863192182408,8.617114663271991,3.8761209805654735,0.98,12.0,13.0,0.9274931128855464
29,6.141865055067084,269.1790040376848,15.19537719394208,1.4056204084925523,1.0,12.0,13.0,0.9906519079168146
30,6.141932716186144,,,,,12.0,13.0,
31,6.1419637240098135,278.35768963117584,12.283371920638842,6.764966469555759,0.92,12.0,13.0,0.9466119458610455
32,6.141980323248018,278.35768963117584,17.918006929464582,2.9492051776661583,0.98,12.0,13.0,0.9828931631918172
33,6.141990345122414,,,,,12.0,13.0,
34,6.1420332486578495,180.09905447996377,10.72960764960152,1.950592452340203,1.0,12.0,13.0,0.5762273202368121
35,6.142057673594883,212.99254526091565,7.799156897328231,5.097797668013754,1.0,12.0,13.0,0.9808990390086387
36,6.142094621529883,260.5863192182408,8.209846976683593,3.88372222778122,1.0,12.0,13.0,0.8598637897073876
37,6.142197307755106,202.42914979757063,11.818748789262202,4.262344758380806,1.0,12.0,13.0,0.4271985498112448
38,6.14221389806804,260.5863192182408,18.112148761359208,0.4590909486802843,0.96,12.0,13.0,0.999121969717255
39,6.142340965107602,172.4881414402758,8.218928005774757,3.1996395623042986,0.9,12.0,13.0,0.9579060832033505
40,6.142402294512768,,,,,12.0,13.0,
41,6.1424044846884955,,,,,12.0,13.0,
42,6.142407300612488,,,,,12.0,13.0,
43,6.14244484452115,,,,,12.0,13.0,
44,6.142461425380905,,,,,12.0,13.0,
45,6.1425468224240785,,,,,12.0,13.0,
46,6.14256996744811,,,,,12.0,13.0,
47,6.142590922014054,252.5252525252523,7.947057301015661,1.0965324209539349,1.0,12.0,13.0,0.9912335545684882
48,6.142617504709985,212.99254526091565,14.568953446762094,3.992877321467745,1.0,12.0,13.0,0.44107819733524983
49,6.142630639088557,,,,,12.0,13.0,
50,6.142632828113034,188.41262364578407,6.034070805113544,2.544700492559997,1.0,12.0,13.0,0.8674925793885062
51,6.142709124357441,207.57654385054468,5.433045459989671,2.468421241830129,0.98,12.0,13.0,0.42970705110063806
52,6.14275664639067,197.53086419753063,11.66559673787171,6.918252248570752,0.98,12.0,13.0,0.9860135758100467
53,6.1428835547538485,,,,,12.0,13.0,
54,6.142886367573319,,,,,12.0,13.0,
55,6.142892618218029,,,,,12.0,13.0,
56,6.142948244992971,,,,,12.0,13.0,
57,6.142960119449056,,,,,12.0,13.0,
58,6.142985117242771,,,,,12.0,13.0,
59,6.143005739339449,,,,,12.0,13.0,
60,6.143058539941678,168.9189189189187,11.355871063004429,5.053368767128006,1.0,12.0,13.0,0.9692422898067392
61,6.14307291059186,,,,,12.0,13.0,
62,6.143154439409298,,,,,12.0,13.0,
63,6.143155064092108,37.21968921559499,37.20817100002009,37.15803617016881,1.0,12.0,13.0,0.0
64,6.143156001114638,165.4944145635083,5.245920187210487,3.213929635757921,0.98,12.0,13.0,0.7324816993285224
65,6.143160373859715,269.1790040376848,12.875569679123316,7.455930034575999,0.96,12.0,13.0,0.8920847909459741
66,6.143200351201968,207.57654385054468,12.847857284185494,2.369296425671081,1.0,12.0,13.0,0.874297772122241
67,6.14320753424064,197.53086419753063,12.249029865092808,2.5451638688124376,1.0,12.0,13.0,0.980627902031828
